# S04 performance reset — integrated final state
git_sha: 0f04674
# sha_convention: recorded sha is the COMMIT WHOSE TREE produced the measurement.
#   (Each file was authored just before its own commit, so the sha captured from HEAD at
#    write time was the parent. Corrected here; measured values unchanged.)
gpu: RTX 5090 index 1 (CUDA_VISIBLE_DEVICES=1); GPU0 user-owned ninfer-serve (untouched)
artifact: build/evidence/qwen38-payload-v1-final-a.sinf sha256 e25022c8592875449968b9d0b1f56e6800971e0ba04d8a43eec980fe60dc65d5
workload: chat-template 60 output tokens (59 continuation steps)

kernel,ms_per_token,baseline_ms_per_token
nvfp4_gemv_rows_f32<8,4,4,2>,17.34,82.87
rms_norm_f32_bf16_scale_parallel,5.25,5.23
gated_delta_attention_parallel_f32,3.25,3.25
cast_bf16_to_f32,1.10,1.09
linear_f32_rows_kernel<8,2>,0.75,18.51
cast_f32_to_bf16,0.52,-
grouped_attention_bf16_cache_cached,0.32,-
residual_f32,0.19,-
silu_mul_f32,0.18,2.63
causal_conv_silu_f32,0.16,3.68
split_f32,0.14,-
gated_delta_parameters_f32,0.076,-
rope_f32,0.061,-
cache_append_f32_bf16,0.043,-
split_last_f32,0.026,-
sigmoid_mul_f32,0.024,0.20
embedding_bf16,0.010,-
TOTAL_DEVICE_SUM,29.44,123.61

launches_per_token: 2424 (topology unchanged; E0a/E0b changed implementations, not commands)

correctness:
- D-021 verdict PASS (240 strict rows greedy-exact, 12 tie rows, bounds clear, 66 listed outliers), all 8 cases pass
- chat-template 60/60 continuation tokens identical to the P7 baseline
- layer-3 max_abs=1.52588e-05 mean_abs=9.40284e-07 (PASS)
- GDN layer0/2-seg max_abs=0.000350952 mean_abs=3.0441e-06 (PASS)

reverted-on-correctness:
- parallel RMSNorm sum-of-squares gave 5.26->2.23 ms/token but FAILED D-021 (strict-row flips).
  Reverted to the exact serial reduction order; tolerance was NOT loosened.

# ---- phase 1 (donor GEMV completion: per-shape schedule dispatch) ----
# measured at tree = this commit; nsys CUPTI kernel sum, chat-60
# GEMV ms/token: 17.34 -> 13.688
# per-shape (rows x K, launches/token, ms/token, achieved GB/s):
#   17408x5120 x128  5.861  1094   schedule <8,2,4,4> (16 rows/CTA)
#   5120x17408 x64 + 5120x6144 x64  4.034  1077   <8,2,4,4>
#   10240x5120 x48   1.240  1141   <8,2,4,4>
#   6144x5120 x48    0.932   911   <8,2,4,4>
#   12288x5120 x16   0.628   901   <8,2,4,4>
#   248320x5120 x1   0.590  1211   <8,4,4,2> (32 rows/CTA)
#   1024x5120 x32    0.401   234   <4,2,4,4> (8 rows/CTA)
# notes: scale plane remains row-major [rows][K/16]; no repack. registers 64 (mid/tiny) / 96 (wide).
#        still-open donor mechanism: staged/swizzled scale access into shared (Nvfp4ScaleAccess::StagedRaw).

# ---- phase 2 (RMSNorm exact-order scalar path) + phase 1 reconciliation ----
# measured at tree = this commit; nsys CUPTI kernel sum, chat-60, CUDA_VISIBLE_DEVICES=1
# GEMV:      17.34 -> 13.52 ms/token
# RMSNorm:    5.27 ->  4.06 ms/token   (float4 shared reads; accumulation order unchanged)
# GDN:        3.25 ->  3.25 ms/token   (shared-state staging attempted, measured SLOWER 3.64; reverted)
# device sum: 29.44 -> 24.45 ms/token
# D-021: PASS (240 strict rows greedy-exact, 12 tie rows, all 8 cases)
# per-shape GEMV schedules: >=32768 rows <8,4,4,2>; <4096 rows <4,2,4,4>; else <8,2,4,4>
# scale plane still row-major [rows][K/16]; no repack (donor StagedRaw scale staging not implemented)
# identified, not yet implemented: 514 casts/token of constant bf16 norm weights -> f32,
#   96 casts/token of constant bf16 GDN a/b weights (245760 elem) -> f32 (re-converted every token)

# ---- phase 4 (GDN register-tiled recurrence) ----
# GDN recurrence: 3.25 -> 0.81 ms/token (avg 67.8 -> 16.9 us/launch, 48 launches/token)
# mechanism: each thread holds its whole value column (128 floats) in registers for the transition
#   -> 1 read + 1 write of the 128x128 state instead of 5 reads + 2 writes
#   -> registersPerThread 255; arithmetic and accumulation order unchanged (bit-identical)
# correctness: GDN fixture max_abs=0.000312805 (identical to accepted), layer3 0.00106812 (identical),
#   chat-60 60/60 tokens
# device sum: 24.45 -> 22.14 ms/token

# ---- session final (after phase-4 GDN register tiling) ----
# kernel_sum=22.17 device_span=23.34 idle=5.0% launches=2424
# continuation_wall=20.51 ms/token  tok/s=48.8   D-021 PASS
# top kernels ms/token: nvfp4_gemv(mid) 12.727 | rms_norm 4.036 | cast_bf16_to_f32 1.104
#   | gdn_register 0.813 | linear_f32_rows 0.783 | nvfp4_gemv(wide) 0.588 | cast_f32_to_bf16 0.517
#   | nvfp4_gemv(tiny) 0.385 | grouped_attention 0.318 | residual 0.187
# attempted and rejected this session (measured worse, reverted):
#   - no-shared RMSNorm staging (4.03 -> 10.62 ms/token)
#   - default L1 code loads instead of ld.global.cg (13.671 -> 13.701)
# not implemented (needs lowering changes, not runtime): constant-weight cast elimination,
#   RMSNorm denominator-only + normalized-on-load (bf16<->f32 boundaries are semantic)
